pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
EPIC 246851721 b,EPIC 246851721 b,2457865.11032,6.180235,1.59,0.0681,9.776524863788609,143.9273980087623,0.647,0.085585,0.465,6202.0,1.32,3.0
EPIC 248847494 b,EPIC 248847494 b,2457967.17,3650.0,2.7,0.042,358.3869261175794,8483.156915307854,0.79,1.1166666666666667,0.064,4898.0,0.9,13.0
EPIC 249893012 b,EPIC 249893012 b,2457994.396,3.5951,1.71,0.0104,5.910240535974117,565.2187691846882,0.42,0.09020833333333333,0.298,5430.0,1.05,0.027530000000000002
EPIC 249893012 c,EPIC 249893012 c,2457998.841,15.624,1.71,0.0197,16.347473822907133,831.8855201351842,0.6,0.13270833333333332,0.298,5430.0,1.05,0.04616
EPIC 249893012 d,EPIC 249893012 d,2458008.652,35.747,1.71,0.0211,27.664955700304372,1307.8200244432942,0.25,0.19916666666666666,0.298,5430.0,1.05,0.03203
G 9-40 b,G 9-40 b,2458497.77747,5.746007,0.31,0.0605,26.705606430051883,445.0923398105355,0.672,0.02785,14.11,3348.0,0.29,0.015
GJ 1132 b,GJ 1132 b,2457184.5575900003,1.628931,0.21,0.05041,15.66662848456847,316.9844970135826,0.38,,15.4,3270.0,0.18,0.005220000000000001
GJ 1214 b,GJ 1214 b,2455320.5357330004,1.58040456,0.22,0.116,13.791380529597395,116.24151524343233,0.385,0.018099999999999998,26.20204,3026.0,0.15,0.0197
GJ 1252 b,GJ 1252 b,2458668.0973900002,0.5182349,0.39,0.02802,5.050498835749273,180.8246252664238,0.44,0.015291666666666665,8.993039999999999,3458.0,0.38,0.00658
GJ 143 b,GJ 143 b,2458385.92502,35.61253,0.69,0.035,59.67921421870997,1719.8113969503236,0.587,0.06729166666666667,3.03,4640.0,0.73,0.07142000000000001
GJ 3470 b,GJ 3470 b,2455983.7042099996,3.3366496,0.55,0.07642,13.879348229644435,182.0690622264194,0.4,0.03955,3.3,3600.0,0.54,0.04373
GJ 3473 b,GJ 3473 b,2458492.20408,1.1980035,0.36,0.03184,9.491280426680563,294.24793187120633,0.336,0.019791666666666666,10.93,3347.0,0.36,0.00585
GJ 357 b,GJ 357 b,2458517.99862,3.93072,0.34,0.0331,22.135663083732847,671.9075354938027,0.34,0.031875,13.6,3505.0,0.34,0.00579
GJ 436 b,GJ 436 b,2454510.80162,2.64388312,0.46,0.0822,13.603121152202034,163.68844176903167,0.736,0.020945,7.0,3479.0,0.47,0.07
GJ 486 b,GJ 486 b,2458931.15935,1.467119,0.33,,11.298962361597868,312.7944720530583,,0.020986020833333334,12.108239999999999,3340.0,0.32,0.008870000000000001
GJ 9827 b,GJ 9827 b,2457738.8258599997,1.2089819,0.6,0.02396,6.737674211010494,279.0016052145695,0.4602,0.02635,3.97,4340.0,0.61,0.01545
GJ 9827 c,GJ 9827 c,2457742.1993,3.6480957,0.6,0.018869999999999998,14.06668685011499,739.919797612963,0.4428,0.03802,3.76,4340.0,0.61,0.00264
GJ 9827 d,GJ 9827 d,2457740.96115,6.2014698,0.6,0.03073,20.037413039233865,649.9574894811075,0.8927,0.025475,3.76,4340.0,0.61,0.012709999999999999
Gl 686 b,Gl 686 b,2450606.8,15.53,0.43,,45.50680503725543,865.5390707224711,,,7.14549,3656.0,0.43,0.02084
HAT-P-1 b,HAT-P-1 b,2453979.93202,4.46529976,1.17,0.11802,10.220459980204406,88.22183054955767,0.7501,0.059375,0.908,5980.0,1.15,0.525
HAT-P-11 b,HAT-P-11 b,2454957.8124639997,4.88780244,0.68,0.05799,16.614396263133195,282.62360548792054,0.026,0.04924708333333333,3.7000800000000003,4780.0,0.81,0.084
HAT-P-12 b,HAT-P-12 b,2454419.19556,3.2130598,0.7,0.1406,11.796049682498612,83.7877604815391,0.211,0.0487,2.205,4650.0,0.73,0.211
HAT-P-13 b,HAT-P-13 b,2454779.9297599997,2.91625,1.76,0.08388999999999999,5.3550337403636945,72.10283229100578,0.679,0.06725,0.23563,5653.0,1.32,0.851
